Age,Annual Income,Occupation,AccountBalance,credit_score,Gender,Education,Active_loans,Bank_Products,Fixed Deposit,Tenure,LastMonthTrans,Networth,Married,Dependents,Vehicle,House
45,500100,Salaried,50000,760.0,Male,Graduate,2,5,No,11,33,100000,no,2,yes,rented
49,480000,Salaried,30000,750.0,Male,Graduate,2,3,Yes,10,23,800087,yes,3,no,own
37,480000,Salaried,10000,710.0,Male,Under Graduate,0,2,Yes,6,34,30000,yes,4,yes,rented
21,240000,Salaried,5000,700.0,Male,Under Graduate,1,2,No,2,25,650000,no,0,no,own
42,35000,Housewife,12500,800.0,Female,Graduate,1,2,Yes,8,56,10000,yes,3,yes,own
37,100000,Business,200000,800.0,Female,Graduate,3,5,Yes,10,32,5000000,yes,4,no,own
54,480000,Business,100000,750.0,Male,Under Graduate,0,1,No,11,45,4000900,yes,5,yes,own
49,1230000,Salaried,120000,720.0,Male,Graduate,0,3,No,14,58,8700500,yes,3,no,rented
21,300000,Other,5000,740.0,Male,Under Graduate,2,4,Yes,3,12,1400000,no,0,yes,rented
21,0,Other,8000,850.0,Male,Under Graduate,3,2,No,2,29,14050,no,0,yes,rented
22,10000,Other,5469,720.0,Male,Under Graduate,0,1,No,4,32,12300,no,0,no,rented
49,840000,Business,30000,750.0,Male,Graduate,2,1,Yes,12,67,8956700,yes,6,no,own
45,600000,Business,40000,710.0,Female,Graduate,0,2,Yes,10,50,4567000,yes,4,no,rented
51,1000000,Business,500000,690.0,Male,Graduate,1,5,Yes,20,43,4280000,yes,5,no,own
23,400000,Salaried,100000,719.0,Female,Post Graduate,0,3,Yes,5,21,1080000,no,0,yes,own
26,600000,Other,10000,640.0,Female,Graduate,0,1,Yes,5,5,3200800,yes,2,yes,own
21,120000,Salaried,200000,750.0,Male,Under Graduate,0,1,Yes,2,55,340000,no,0,yes,own
21,350000,Business,400000,700.0,Male,Post Graduate,2,1,Yes,3,36,1670000,no,0,yes,own
21,0,Other,4000,589.09375,Male,Under Graduate,0,1,Yes,3,18,0,no,0,no,own
40,1200000,Salaried,50000,589.09375,Male,Post Graduate,1,4,No,18,23,1000000,yes,4,yes,own
60,530000,Salaried,342000,589.09375,Male,Under Graduate,1,3,Yes,23,43,3000000,yes,5,no,own
25,2400000,Salaried,10000,589.09375,Female,Under Graduate,0,1,Yes,5,53,4000000,no,2,yes,own
31,480000,Business,500000,400.0,Male,Graduate,1,1,No,10,70,10000000,yes,3,no,rented
42,840000,Business,120000,798.0,Male,Under Graduate,0,5,Yes,16,54,900000,yes,4,yes,rented
45,420000,Salaried,200000,589.09375,Male,Under Graduate,2,3,Yes,19,66,3300000,yes,4,yes,rented
59,720000,Salaried,2000000,700.0,Male,Post Graduate,0,3,No,25,46,8000000,yes,3,yes,own
33,600000,Other,2000,700.0,Female,Under Graduate,0,1,No,11,15,2000000,yes,2,yes,rented
23,240000,Salaried,2000,589.09375,Female,Under Graduate,1,1,No,3,34,3000000,no,3,no,rented
38,1200000,Business,2500000,367.0,Male,Graduate,0,3,No,15,45,9000000,yes,4,yes,own
60,840000,Salaried,1800000,355.0,Male,Under Graduate,0,3,Yes,30,32,9440554,yes,3,yes,rented
75,24000,Other,3000000,589.09375,Male,Graduate,0,2,No,40,35,5043455,yes,5,yes,own
26,444000,Salaried,400000,300.0,Female,Under Graduate,0,2,No,4,19,667334,no,3,no,rented
50,180000,Other,100000,589.09375,Male,Graduate,2,1,No,35,9,2496505,yes,3,yes,rented
18,0,Other,2000,589.09375,Male,Graduate,1,1,No,2,32,10000,no,2,yes,own
20,0,Other,5000,589.09375,Male,Under Graduate,2,2,No,2,18,70545,no,5,no,rented
